date,brand,category,season,sim_price,sim_demand
2024-08-19,Ann Taylor,Bottoms,Summer,45.61,17.26
2024-08-26,Ann Taylor,Bottoms,Summer,48.29,16.25
2024-09-02,Ann Taylor,Bottoms,Fall,48.54,14.47
2024-09-09,Ann Taylor,Bottoms,Fall,48.14,15.62
2024-09-16,Ann Taylor,Bottoms,Fall,51.84,12.48
2024-09-23,Ann Taylor,Bottoms,Fall,49.88,15.67
2024-09-30,Ann Taylor,Bottoms,Fall,52.56,12.88
2024-10-07,Ann Taylor,Bottoms,Fall,49.4,12.89
2024-10-14,Ann Taylor,Bottoms,Fall,49.79,14.96
2024-10-21,Ann Taylor,Bottoms,Fall,54.46,14.74
2024-10-28,Ann Taylor,Bottoms,Fall,52.1,13.98
2024-11-04,Ann Taylor,Bottoms,Fall,50.47,14.49
2024-11-11,Ann Taylor,Bottoms,Fall,48.38,13.81
2024-11-18,Ann Taylor,Bottoms,Fall,50.4,13.37
2024-11-25,Ann Taylor,Bottoms,Fall,48.42,15.49
2024-12-02,Ann Taylor,Bottoms,Winter,46.7,14.19
2024-12-09,Ann Taylor,Bottoms,Winter,47.31,12.17
2024-12-16,Ann Taylor,Bottoms,Winter,48.71,14.11
2024-12-23,Ann Taylor,Bottoms,Winter,54.25,11.53
2024-12-30,Ann Taylor,Bottoms,Winter,55.3,14.03
2024-01-01,Ann Taylor,Dresses,Winter,91.11,7.06
2024-01-08,Ann Taylor,Dresses,Winter,93.04,6.71
2024-01-15,Ann Taylor,Dresses,Winter,92.85,7.62
2024-01-22,Ann Taylor,Dresses,Winter,93.22,7.35
2024-01-29,Ann Taylor,Dresses,Winter,89.35,7.59
2024-02-05,Ann Taylor,Dresses,Winter,91.13,7.65
2024-02-12,Ann Taylor,Dresses,Winter,91.86,7.08
2024-02-19,Ann Taylor,Dresses,Winter,92.54,7.67
2024-02-26,Ann Taylor,Dresses,Winter,92.37,7.44
2024-03-04,Ann Taylor,Dresses,Spring,96.18,7.8
2024-03-11,Ann Taylor,Dresses,Spring,95.02,9.43
2024-03-18,Ann Taylor,Dresses,Spring,92.03,10.16
2024-03-25,Ann Taylor,Dresses,Spring,95.83,7.99
2024-04-01,Ann Taylor,Dresses,Spring,90.57,8.82
2024-04-08,Ann Taylor,Dresses,Spring,90.51,8.74
2024-04-15,Ann Taylor,Dresses,Spring,92.32,8.13
2024-04-22,Ann Taylor,Dresses,Spring,92.87,8.94
2024-04-29,Ann Taylor,Dresses,Spring,95.83,8.36
2024-05-06,Ann Taylor,Dresses,Spring,89.68,7.99
2024-05-13,Ann Taylor,Dresses,Spring,91.29,8.68
2024-05-20,Ann Taylor,Dresses,Spring,93.03,8.59
2024-05-27,Ann Taylor,Dresses,Spring,92.03,7.53
2024-06-03,Ann Taylor,Dresses,Summer,96.04,9.32
2024-06-10,Ann Taylor,Dresses,Summer,101.71,8.7
2024-06-17,Ann Taylor,Dresses,Summer,95.36,9.39
2024-06-24,Ann Taylor,Dresses,Summer,89.57,8.82
2024-07-01,Ann Taylor,Dresses,Summer,91.33,8.7
2024-07-08,Ann Taylor,Dresses,Summer,95.39,8.84
2024-07-15,Ann Taylor,Dresses,Summer,91.59,10.87
2024-07-22,Ann Taylor,Dresses,Summer,100.47,8.09
2024-07-29,Ann Taylor,Dresses,Summer,99.19,8.17
2024-08-05,Ann Taylor,Dresses,Summer,88.4,10.8
2024-08-12,Ann Taylor,Dresses,Summer,91.48,10.46
2024-08-19,Ann Taylor,Dresses,Summer,92.86,9.49
2024-08-26,Ann Taylor,Dresses,Summer,98.45,9.61
2024-09-02,Ann Taylor,Dresses,Fall,95.86,7.18
2024-09-09,Ann Taylor,Dresses,Fall,93.98,7.11
2024-09-16,Ann Taylor,Dresses,Fall,97.58,6.71
2024-09-23,Ann Taylor,Dresses,Fall,97.49,8.18
2024-09-30,Ann Taylor,Dresses,Fall,99.96,7.93
2024-10-07,Ann Taylor,Dresses,Fall,95.59,9.55
2024-10-14,Ann Taylor,Dresses,Fall,91.88,8.2
2024-10-21,Ann Taylor,Dresses,Fall,91.75,7.85
2024-10-28,Ann Taylor,Dresses,Fall,89.66,8.86
2024-11-04,Ann Taylor,Dresses,Fall,92.44,8.04
2024-11-11,Ann Taylor,Dresses,Fall,83.79,8.41
2024-11-18,Ann Taylor,Dresses,Fall,86.53,10.14
2024-11-25,Ann Taylor,Dresses,Fall,84.17,8.6
2024-12-02,Ann Taylor,Dresses,Winter,85.45,8.7
2024-12-09,Ann Taylor,Dresses,Winter,85.67,7.44
2024-12-16,Ann Taylor,Dresses,Winter,85.44,7.1
2024-12-23,Ann Taylor,Dresses,Winter,88.59,8.11
2024-12-30,Ann Taylor,Dresses,Winter,87.76,8.34
2024-01-01,Ann Taylor,Outerwear,Winter,138.6,3.48
2024-01-08,Ann Taylor,Outerwear,Winter,128.47,4.02
2024-01-15,Ann Taylor,Outerwear,Winter,138.93,3.54
2024-01-22,Ann Taylor,Outerwear,Winter,137.13,3.81
2024-01-29,Ann Taylor,Outerwear,Winter,134.39,4.0
2024-02-05,Ann Taylor,Outerwear,Winter,136.4,3.7
2024-02-12,Ann Taylor,Outerwear,Winter,136.45,3.68
2024-02-19,Ann Taylor,Outerwear,Winter,132.27,4.01
2024-02-26,Ann Taylor,Outerwear,Winter,133.41,3.64
2024-03-04,Ann Taylor,Outerwear,Spring,140.81,4.37
2024-03-11,Ann Taylor,Outerwear,Spring,144.85,3.75
2024-03-18,Ann Taylor,Outerwear,Spring,140.88,4.29
2024-03-25,Ann Taylor,Outerwear,Spring,146.06,4.85
2024-04-01,Ann Taylor,Outerwear,Spring,130.08,4.46
2024-04-08,Ann Taylor,Outerwear,Spring,129.93,4.72
2024-04-15,Ann Taylor,Outerwear,Spring,120.39,4.63
2024-04-22,Ann Taylor,Outerwear,Spring,123.42,5.22
2024-04-29,Ann Taylor,Outerwear,Spring,126.18,5.75
2024-05-06,Ann Taylor,Outerwear,Spring,121.33,4.54
2024-05-13,Ann Taylor,Outerwear,Spring,121.14,4.51
2024-05-20,Ann Taylor,Outerwear,Spring,118.88,4.61
2024-05-27,Ann Taylor,Outerwear,Spring,118.41,4.65
2024-06-03,Ann Taylor,Outerwear,Summer,115.33,5.16
2024-06-10,Ann Taylor,Outerwear,Summer,115.1,5.61
2024-06-17,Ann Taylor,Outerwear,Summer,114.81,5.68
2024-06-24,Ann Taylor,Outerwear,Summer,114.97,6.33
2024-07-01,Ann Taylor,Outerwear,Summer,124.03,4.85
2024-07-08,Ann Taylor,Outerwear,Summer,122.15,6.03
2024-07-15,Ann Taylor,Outerwear,Summer,122.98,6.68
2024-07-22,Ann Taylor,Outerwear,Summer,127.29,4.95
2024-07-29,Ann Taylor,Outerwear,Summer,131.82,4.75
2024-08-05,Ann Taylor,Outerwear,Summer,141.92,4.38
2024-08-12,Ann Taylor,Outerwear,Summer,145.08,4.23
2024-08-19,Ann Taylor,Outerwear,Summer,140.12,5.07
2024-08-26,Ann Taylor,Outerwear,Summer,136.54,4.64
2024-09-02,Ann Taylor,Outerwear,Fall,142.81,3.92
2024-09-09,Ann Taylor,Outerwear,Fall,159.47,3.47
2024-09-16,Ann Taylor,Outerwear,Fall,148.5,4.06
2024-09-23,Ann Taylor,Outerwear,Fall,149.27,3.82
2024-09-30,Ann Taylor,Outerwear,Fall,147.39,3.8
2024-10-07,Ann Taylor,Outerwear,Fall,147.03,3.6
2024-10-14,Ann Taylor,Outerwear,Fall,152.69,3.49
2024-10-21,Ann Taylor,Outerwear,Fall,157.85,3.68
2024-10-28,Ann Taylor,Outerwear,Fall,152.16,3.61
2024-11-04,Ann Taylor,Outerwear,Fall,146.93,3.67
2024-11-11,Ann Taylor,Outerwear,Fall,143.51,3.54
2024-11-18,Ann Taylor,Outerwear,Fall,138.61,3.6
2024-11-25,Ann Taylor,Outerwear,Fall,141.69,4.62
2024-12-02,Ann Taylor,Outerwear,Winter,141.87,3.51
2024-12-09,Ann Taylor,Outerwear,Winter,142.84,3.62
2024-12-16,Ann Taylor,Outerwear,Winter,140.39,3.53
2024-12-23,Ann Taylor,Outerwear,Winter,149.96,3.06
2024-12-30,Ann Taylor,Outerwear,Winter,145.31,3.98
2024-01-01,Ann Taylor,Shoes,Winter,106.72,5.35
2024-01-08,Ann Taylor,Shoes,Winter,111.27,5.35
2024-01-15,Ann Taylor,Shoes,Winter,107.45,4.96
2024-01-22,Ann Taylor,Shoes,Winter,106.99,5.02
2024-01-29,Ann Taylor,Shoes,Winter,106.23,6.54
2024-02-05,Ann Taylor,Shoes,Winter,106.65,5.84
2024-02-12,Ann Taylor,Shoes,Winter,103.03,4.95
2024-02-19,Ann Taylor,Shoes,Winter,102.84,5.52
2024-02-26,Ann Taylor,Shoes,Winter,102.76,4.92
2024-03-04,Ann Taylor,Shoes,Spring,104.54,5.79
2024-03-11,Ann Taylor,Shoes,Spring,103.92,6.86
2024-03-18,Ann Taylor,Shoes,Spring,110.96,6.09
2024-03-25,Ann Taylor,Shoes,Spring,111.51,5.43
2024-04-01,Ann Taylor,Shoes,Spring,113.29,6.21
2024-04-08,Ann Taylor,Shoes,Spring,113.12,5.77
2024-04-15,Ann Taylor,Shoes,Spring,117.95,5.77
2024-04-22,Ann Taylor,Shoes,Spring,118.19,5.26
2024-04-29,Ann Taylor,Shoes,Spring,109.77,6.59
2024-05-06,Ann Taylor,Shoes,Spring,112.15,6.03
2024-05-13,Ann Taylor,Shoes,Spring,113.88,5.92
2024-05-20,Ann Taylor,Shoes,Spring,119.8,5.52
2024-05-27,Ann Taylor,Shoes,Spring,121.35,5.55
2024-06-03,Ann Taylor,Shoes,Summer,118.92,5.73
2024-06-10,Ann Taylor,Shoes,Summer,117.17,6.45
2024-06-17,Ann Taylor,Shoes,Summer,121.02,5.57
2024-06-24,Ann Taylor,Shoes,Summer,114.32,5.88
2024-07-01,Ann Taylor,Shoes,Summer,116.55,5.87
2024-07-08,Ann Taylor,Shoes,Summer,118.19,6.05
2024-07-15,Ann Taylor,Shoes,Summer,121.73,5.76
2024-07-22,Ann Taylor,Shoes,Summer,116.63,6.23
2024-07-29,Ann Taylor,Shoes,Summer,116.22,6.52
2024-08-05,Ann Taylor,Shoes,Summer,114.82,6.94
2024-08-12,Ann Taylor,Shoes,Summer,117.9,6.88
2024-08-19,Ann Taylor,Shoes,Summer,115.88,6.23
2024-08-26,Ann Taylor,Shoes,Summer,111.9,6.59
2024-09-02,Ann Taylor,Shoes,Fall,111.19,5.82
2024-09-09,Ann Taylor,Shoes,Fall,108.8,5.79
2024-09-16,Ann Taylor,Shoes,Fall,107.8,5.74
2024-09-23,Ann Taylor,Shoes,Fall,115.29,5.29
2024-09-30,Ann Taylor,Shoes,Fall,120.89,4.46
2024-10-07,Ann Taylor,Shoes,Fall,124.4,4.64
2024-10-14,Ann Taylor,Shoes,Fall,119.34,5.41
2024-10-21,Ann Taylor,Shoes,Fall,117.93,5.16
2024-10-28,Ann Taylor,Shoes,Fall,116.32,5.59
2024-11-04,Ann Taylor,Shoes,Fall,111.3,5.32
2024-11-11,Ann Taylor,Shoes,Fall,114.09,5.79
2024-11-18,Ann Taylor,Shoes,Fall,118.64,4.64
2024-11-25,Ann Taylor,Shoes,Fall,117.76,5.52
2024-12-02,Ann Taylor,Shoes,Winter,111.28,5.17
2024-12-09,Ann Taylor,Shoes,Winter,116.87,4.42
2024-12-16,Ann Taylor,Shoes,Winter,117.12,5.18
2024-12-23,Ann Taylor,Shoes,Winter,118.47,5.1
2024-12-30,Ann Taylor,Shoes,Winter,106.68,5.24
2024-01-01,Ann Taylor,Tops,Winter,58.57,11.5
2024-01-08,Ann Taylor,Tops,Winter,57.65,10.99
2024-01-15,Ann Taylor,Tops,Winter,60.33,12.11
2024-01-22,Ann Taylor,Tops,Winter,63.77,11.7
2024-01-29,Ann Taylor,Tops,Winter,65.5,11.08
2024-02-05,Ann Taylor,Tops,Winter,65.31,8.96
2024-02-12,Ann Taylor,Tops,Winter,63.78,10.2
2024-02-19,Ann Taylor,Tops,Winter,65.78,9.8
2024-02-26,Ann Taylor,Tops,Winter,68.57,10.02
2024-03-04,Ann Taylor,Tops,Spring,65.53,11.44
2024-03-11,Ann Taylor,Tops,Spring,67.46,11.53
2024-03-18,Ann Taylor,Tops,Spring,69.43,11.64
2024-03-25,Ann Taylor,Tops,Spring,71.31,12.8
2024-04-01,Ann Taylor,Tops,Spring,66.14,12.04
2024-04-08,Ann Taylor,Tops,Spring,64.36,13.67
2024-04-15,Ann Taylor,Tops,Spring,67.21,11.55
2024-04-22,Ann Taylor,Tops,Spring,67.31,11.27
2024-04-29,Ann Taylor,Tops,Spring,67.51,13.17
2024-05-06,Ann Taylor,Tops,Spring,65.22,11.55
2024-05-13,Ann Taylor,Tops,Spring,64.21,11.33
2024-05-20,Ann Taylor,Tops,Spring,68.37,11.65
2024-05-27,Ann Taylor,Tops,Spring,70.67,11.0
2024-06-03,Ann Taylor,Tops,Summer,76.47,11.63
2024-06-10,Ann Taylor,Tops,Summer,72.56,11.62
2024-06-17,Ann Taylor,Tops,Summer,72.06,12.48
2024-06-24,Ann Taylor,Tops,Summer,70.4,11.86
2024-07-01,Ann Taylor,Tops,Summer,70.65,11.86
2024-07-08,Ann Taylor,Tops,Summer,67.13,13.09
2024-07-15,Ann Taylor,Tops,Summer,65.15,13.6
2024-07-22,Ann Taylor,Tops,Summer,64.9,11.96
2024-07-29,Ann Taylor,Tops,Summer,62.03,13.2
2024-08-05,Ann Taylor,Tops,Summer,65.48,14.01
2024-08-12,Ann Taylor,Tops,Summer,66.65,13.18
2024-08-19,Ann Taylor,Tops,Summer,66.38,12.12
2024-08-26,Ann Taylor,Tops,Summer,68.94,10.97
2024-09-02,Ann Taylor,Tops,Fall,61.75,11.99
2024-09-09,Ann Taylor,Tops,Fall,57.99,14.04
2024-09-16,Ann Taylor,Tops,Fall,61.68,12.43
2024-09-23,Ann Taylor,Tops,Fall,60.53,14.91
2024-09-30,Ann Taylor,Tops,Fall,63.73,12.88
2024-10-07,Ann Taylor,Tops,Fall,56.31,11.23
2024-10-14,Ann Taylor,Tops,Fall,57.68,11.98
2024-10-21,Ann Taylor,Tops,Fall,55.25,13.68
2024-10-28,Ann Taylor,Tops,Fall,54.65,13.66
2024-11-04,Ann Taylor,Tops,Fall,52.39,16.07
2024-11-11,Ann Taylor,Tops,Fall,55.37,13.64
2024-11-18,Ann Taylor,Tops,Fall,59.32,11.91
2024-11-25,Ann Taylor,Tops,Fall,56.38,13.37
2024-12-02,Ann Taylor,Tops,Winter,54.65,14.02
2024-12-09,Ann Taylor,Tops,Winter,53.03,13.29
2024-12-16,Ann Taylor,Tops,Winter,53.34,13.5
2024-12-23,Ann Taylor,Tops,Winter,58.75,11.61
2024-12-30,Ann Taylor,Tops,Winter,57.2,12.24
2024-01-01,Banana Republic,Accessories,Winter,37.55,15.07
2024-01-08,Banana Republic,Accessories,Winter,38.7,16.22
2024-01-15,Banana Republic,Accessories,Winter,39.29,16.57
2024-01-22,Banana Republic,Accessories,Winter,39.16,17.28
2024-01-29,Banana Republic,Accessories,Winter,39.76,14.9
2024-02-05,Banana Republic,Accessories,Winter,41.12,15.3
2024-02-12,Banana Republic,Accessories,Winter,39.97,13.02
2024-02-19,Banana Republic,Accessories,Winter,39.94,16.82
2024-02-26,Banana Republic,Accessories,Winter,38.37,15.33
2024-03-04,Banana Republic,Accessories,Spring,39.3,19.1
2024-03-11,Banana Republic,Accessories,Spring,39.58,15.65
2024-03-18,Banana Republic,Accessories,Spring,37.54,17.32
2024-03-25,Banana Republic,Accessories,Spring,38.09,19.42
2024-04-01,Banana Republic,Accessories,Spring,38.06,20.29
2024-04-08,Banana Republic,Accessories,Spring,37.32,21.49
2024-04-15,Banana Republic,Accessories,Spring,37.47,17.72
2024-04-22,Banana Republic,Accessories,Spring,37.13,20.47
2024-04-29,Banana Republic,Accessories,Spring,38.45,18.79
2024-05-06,Banana Republic,Accessories,Spring,37.52,19.77
2024-05-13,Banana Republic,Accessories,Spring,40.15,17.38
2024-05-20,Banana Republic,Accessories,Spring,38.88,17.84
2024-05-27,Banana Republic,Accessories,Spring,39.82,18.63
2024-06-03,Banana Republic,Accessories,Summer,39.4,20.36
2024-06-10,Banana Republic,Accessories,Summer,38.97,22.13
2024-06-17,Banana Republic,Accessories,Summer,38.14,20.76
2024-06-24,Banana Republic,Accessories,Summer,37.43,23.2
2024-07-01,Banana Republic,Accessories,Summer,36.23,23.13
2024-07-08,Banana Republic,Accessories,Summer,34.45,24.38
2024-07-15,Banana Republic,Accessories,Summer,34.08,24.12
2024-07-22,Banana Republic,Accessories,Summer,34.65,25.17
2024-07-29,Banana Republic,Accessories,Summer,38.66,22.92
2024-08-05,Banana Republic,Accessories,Summer,38.41,22.86
2024-08-12,Banana Republic,Accessories,Summer,38.85,22.48
2024-08-19,Banana Republic,Accessories,Summer,39.92,22.13
2024-08-26,Banana Republic,Accessories,Summer,39.66,18.4
2024-09-02,Banana Republic,Accessories,Fall,39.75,15.34
2024-09-09,Banana Republic,Accessories,Fall,38.82,16.5
2024-09-16,Banana Republic,Accessories,Fall,36.79,18.2
2024-09-23,Banana Republic,Accessories,Fall,35.79,22.36
2024-09-30,Banana Republic,Accessories,Fall,38.66,19.77
2024-10-07,Banana Republic,Accessories,Fall,37.11,16.47
2024-10-14,Banana Republic,Accessories,Fall,39.44,20.09
2024-10-21,Banana Republic,Accessories,Fall,39.09,17.11
2024-10-28,Banana Republic,Accessories,Fall,38.47,17.15
2024-11-04,Banana Republic,Accessories,Fall,39.58,17.73
2024-11-11,Banana Republic,Accessories,Fall,39.7,16.42
2024-11-18,Banana Republic,Accessories,Fall,37.73,19.88
2024-11-25,Banana Republic,Accessories,Fall,38.1,16.25
2024-12-02,Banana Republic,Accessories,Winter,34.83,17.16
2024-12-09,Banana Republic,Accessories,Winter,35.21,19.07
2024-12-16,Banana Republic,Accessories,Winter,36.36,17.3
2024-12-23,Banana Republic,Accessories,Winter,39.72,15.03
2024-12-30,Banana Republic,Accessories,Winter,39.84,16.55
2024-01-01,Banana Republic,Bottoms,Winter,59.54,8.96
2024-01-08,Banana Republic,Bottoms,Winter,57.51,8.23
2024-01-15,Banana Republic,Bottoms,Winter,56.14,9.86
2024-01-22,Banana Republic,Bottoms,Winter,54.35,9.21
2024-01-29,Banana Republic,Bottoms,Winter,55.53,8.89
2024-02-05,Banana Republic,Bottoms,Winter,58.36,7.73
2024-02-12,Banana Republic,Bottoms,Winter,57.8,7.97
2024-02-19,Banana Republic,Bottoms,Winter,56.12,8.26
2024-02-26,Banana Republic,Bottoms,Winter,56.55,7.58
2024-03-04,Banana Republic,Bottoms,Spring,55.51,11.27
2024-03-11,Banana Republic,Bottoms,Spring,54.92,11.5
2024-03-18,Banana Republic,Bottoms,Spring,58.61,9.63
2024-03-25,Banana Republic,Bottoms,Spring,61.93,9.54
2024-04-01,Banana Republic,Bottoms,Spring,64.06,9.51
2024-04-08,Banana Republic,Bottoms,Spring,66.5,8.75
2024-04-15,Banana Republic,Bottoms,Spring,61.66,9.21
2024-04-22,Banana Republic,Bottoms,Spring,57.59,8.77
2024-04-29,Banana Republic,Bottoms,Spring,59.25,9.62
2024-05-06,Banana Republic,Bottoms,Spring,57.82,10.39
2024-05-13,Banana Republic,Bottoms,Spring,55.27,9.94
2024-05-20,Banana Republic,Bottoms,Spring,62.21,9.75
2024-05-27,Banana Republic,Bottoms,Spring,57.76,9.12
2024-06-03,Banana Republic,Bottoms,Summer,56.77,11.06
2024-06-10,Banana Republic,Bottoms,Summer,55.84,12.33
2024-06-17,Banana Republic,Bottoms,Summer,52.81,12.09
2024-06-24,Banana Republic,Bottoms,Summer,54.6,12.45
2024-07-01,Banana Republic,Bottoms,Summer,53.43,11.01
2024-07-08,Banana Republic,Bottoms,Summer,51.89,11.16
2024-07-15,Banana Republic,Bottoms,Summer,56.32,10.44
2024-07-22,Banana Republic,Bottoms,Summer,59.6,10.09
2024-07-29,Banana Republic,Bottoms,Summer,57.69,10.68
2024-08-05,Banana Republic,Bottoms,Summer,57.8,11.22
2024-08-12,Banana Republic,Bottoms,Summer,54.29,13.28
2024-08-19,Banana Republic,Bottoms,Summer,55.85,11.21
2024-08-26,Banana Republic,Bottoms,Summer,55.73,10.53
2024-09-02,Banana Republic,Bottoms,Fall,55.93,10.52
2024-09-09,Banana Republic,Bottoms,Fall,60.95,8.77
2024-09-16,Banana Republic,Bottoms,Fall,60.46,9.17
2024-09-23,Banana Republic,Bottoms,Fall,57.64,8.84
2024-09-30,Banana Republic,Bottoms,Fall,58.16,10.08
2024-10-07,Banana Republic,Bottoms,Fall,57.91,9.61
2024-10-14,Banana Republic,Bottoms,Fall,56.51,9.11
2024-10-21,Banana Republic,Bottoms,Fall,57.6,9.14
2024-10-28,Banana Republic,Bottoms,Fall,59.09,9.32
2024-11-04,Banana Republic,Bottoms,Fall,59.88,8.69
2024-11-11,Banana Republic,Bottoms,Fall,61.77,8.22
2024-11-18,Banana Republic,Bottoms,Fall,62.41,7.94
2024-11-25,Banana Republic,Bottoms,Fall,61.6,8.91
2024-12-02,Banana Republic,Bottoms,Winter,59.23,8.3
2024-12-09,Banana Republic,Bottoms,Winter,66.0,7.13
2024-12-16,Banana Republic,Bottoms,Winter,62.34,8.78
2024-12-23,Banana Republic,Bottoms,Winter,60.04,7.92
2024-12-30,Banana Republic,Bottoms,Winter,57.64,7.9
2024-01-01,Banana Republic,Dresses,Winter,98.12,5.27
2024-01-08,Banana Republic,Dresses,Winter,94.56,5.76
2024-01-15,Banana Republic,Dresses,Winter,95.47,5.09
2024-01-22,Banana Republic,Dresses,Winter,89.58,6.26
2024-01-29,Banana Republic,Dresses,Winter,92.11,5.77
2024-02-05,Banana Republic,Dresses,Winter,90.7,6.19
2024-02-12,Banana Republic,Dresses,Winter,92.57,5.45
2024-02-19,Banana Republic,Dresses,Winter,95.18,5.45
2024-02-26,Banana Republic,Dresses,Winter,92.48,5.51
2024-03-04,Banana Republic,Dresses,Spring,102.24,5.66
2024-03-11,Banana Republic,Dresses,Spring,101.36,6.22
2024-03-18,Banana Republic,Dresses,Spring,104.89,5.62
